Standard Field,el_paso_sector,murder_accountability,namus_missing,namus_unidentified,san_diego_cnty,imperial_cnty,yuma_cnty,el_paso_sector_nomas,pima_cnty,brooks_cnty,kennedy_cnty,maverick_cnty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
case_num,case_number,id,,,CaseNum,Number,Case #,Case Number,,Case Number,Case Number,Case Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
namus_case_num,,,case_number,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,age,vicage,missing_age,,Age,Age,Age,Age,Age,Age,Age,Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_range,age_group,,,age_from/age_to,Age Range,Age Range,Age Range,Age Group,Age Range,Age Range,Age Range,Age Range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sex,gender,vicsex,biological_sex,biological_sex,Gender,Gender,Gender,Gender,Gender,Gender,Gender,Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
city,derive,,city,city,,,,,,City,City,City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
county,derive,cntyfips/derive,county,county,,,,,County,County,County,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state,,state,state,state,,,,,State,State,State,State1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latitude,latitude,,,,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
longitude,longitude,,,,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loc_accuracy,accuracy_of_location,,,,Accuracy of location,Accuracy of location,Accuracy of Location,Accuracy of Location,Location Precision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
location,,,,,Death Place,Location/GPS,,,Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,year,year,,,Year,Year,Year,Year,Year,Year,Year,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
month,month,month,,,,,,Month,,Month,Month,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
